epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,24311.6,1.12212,0.42947,0.00642,0.94897,0.89593,0.95884,0.67843,1.09901,0.48308,0.00775,0.00016182,5.394e-05,0.00016182,5.394e-05,0.00016182,5.394e-05,0.00016182,5.394e-05
49,24814.7,1.11594,0.42405,0.00634,0.94854,0.89926,0.96069,0.6785,1.09934,0.47923,0.00774,0.00015888,5.296e-05,0.00015888,5.296e-05,0.00015888,5.296e-05,0.00015888,5.296e-05
50,25317.6,1.1152,0.42779,0.00638,0.94649,0.89774,0.96015,0.67938,1.09607,0.47974,0.00772,0.00015594,5.198e-05,0.00015594,5.198e-05,0.00015594,5.198e-05,0.00015594,5.198e-05
51,25819.8,1.1186,0.43163,0.00638,0.94732,0.89665,0.95693,0.67719,1.0976,0.48349,0.00773,0.000153,5.1e-05,0.000153,5.1e-05,0.000153,5.1e-05,0.000153,5.1e-05
52,26322.3,1.11557,0.42334,0.00637,0.94968,0.89786,0.95739,0.67674,1.09896,0.47823,0.00774,0.00015006,5.002e-05,0.00015006,5.002e-05,0.00015006,5.002e-05,0.00015006,5.002e-05
53,26826.1,1.12076,0.42599,0.0064,0.9498,0.89565,0.95698,0.67709,1.10046,0.47987,0.00776,0.00014712,4.904e-05,0.00014712,4.904e-05,0.00014712,4.904e-05,0.00014712,4.904e-05
54,27328.9,1.11529,0.42504,0.00635,0.94845,0.89978,0.95731,0.677,1.09994,0.47807,0.00776,0.00014418,4.806e-05,0.00014418,4.806e-05,0.00014418,4.806e-05,0.00014418,4.806e-05
55,27832.6,1.11496,0.42174,0.00637,0.94863,0.90135,0.95797,0.67863,1.0989,0.47653,0.00774,0.00014124,4.708e-05,0.00014124,4.708e-05,0.00014124,4.708e-05,0.00014124,4.708e-05
56,28335.6,1.10946,0.42502,0.00635,0.947,0.90087,0.95801,0.67734,1.10004,0.47984,0.00775,0.0001383,4.61e-05,0.0001383,4.61e-05,0.0001383,4.61e-05,0.0001383,4.61e-05
57,28838.2,1.10635,0.42437,0.00631,0.9477,0.90139,0.95844,0.6774,1.09992,0.4783,0.00775,0.00013536,4.512e-05,0.00013536,4.512e-05,0.00013536,4.512e-05,0.00013536,4.512e-05
58,29340.9,1.10409,0.427,0.0063,0.94766,0.90159,0.96103,0.6774,1.10024,0.47599,0.00776,0.00013242,4.414e-05,0.00013242,4.414e-05,0.00013242,4.414e-05,0.00013242,4.414e-05
59,29843.6,1.10835,0.42002,0.00631,0.94984,0.89871,0.95811,0.67604,1.10076,0.47884,0.00776,0.00012948,4.316e-05,0.00012948,4.316e-05,0.00012948,4.316e-05,0.00012948,4.316e-05
60,30346.2,1.112,0.42574,0.00633,0.94677,0.90063,0.9577,0.67603,1.10212,0.47733,0.00776,0.00012654,4.218e-05,0.00012654,4.218e-05,0.00012654,4.218e-05,0.00012654,4.218e-05
